Descrição do Produto (completa),Unidade,Previsão de Faturamento (completa),Quantidade,Total de Mercadoria,Desconto,Frete,Total da Nota Fiscal
0270001 - Leiteira Azul Colonial,UN,09/09/2020,1,60,0,7.35,67.35
0270015 - Queijeira 02 Peças Azul Colonial,UN,09/09/2020,1,97,0,11.88,108.88
0300013 - Anel Guardanapo Vinho e Bege AMUR,PC,26/09/2020,4,120,0,0,120
0360006 - Cabeça de Apóstolo 3,UN,08/09/2020,1,800,0,17,817
0370006 - Jogo Americano Folha de Apui Verde Escura,PC,07/09/2020,2,130,13,10.76,127.76
0370013 - Jogo Americano Folha de Aninga Grande Verde,PC,07/09/2020,6,390,39,32.26,383.26
0400003 - Leão de Nuca,PC,10/09/2020,1,450,0,20,470
0420001 - Máscara em Ceramica 21 a 23cm,PC,08/09/2020,5,700,0,47,747
0460001 - Pinha em Cerâmica 40cm,PC,02/09/2020,1,250,0,12.2,262.2
0460002 - Pinha em Cerâmica 30cm,UN,09/09/2020,1,160,0,19.59,179.59
0460003 - Pinha em Cerâmica 20cm,UN,09/09/2020,1,75,0,9.18,84.18
0460004 - Pinha Portuguesa 30cm,UN,02/09/2020,1,160,0,7.8,167.8
,,11/09/2020,1,160,0,25,185
0460011 - Família com Uma Menina,UN,10/09/2020,1,110,0,39,149
0460013 - Família com Casal de Filhos,PC,24/09/2020,1,150,0,43,193
0560002 - A Cabeça em Cerâmica M,UN,26/09/2020,1,150,0,0,150
0650001 - Cachorro de Madeira Deitado,PC,07/09/2020,1,390,0,17.14,407.14
,,08/09/2020,1,390,0,45,435
0650002 - Cachorro de Madeira Sentado,PC,07/09/2020,1,390,0,17.14,407.14
,,08/09/2020,1,390,0,17.67,407.67
0650003 - Cachorro de Madeira em Pé,PC,08/09/2020,1,390,0,17.66,407.66
0650003 - Cachorro em Madeira em Pé,UN,26/09/2020,1,499,0,77,576
0650005 - Cachorro de Madeira Espreguiçando,PC,07/09/2020,1,390,0,59,449
,,,1,390,0,32.26,422.26
,,08/09/2020,1,390,0,17.67,407.67
0650005 - Cachorro em Madeira Espreguiçando,UN,12/09/2020,1,499,0,47,546
080001 - Vaso Bonequinha de Ceramica P,UN,23/09/2020,2,80,0,65,145
0850004 - O Homem da Galinha G,PC,07/09/2020,1,629,0,27.64,656.64
0850005 - Leitura do Sertão,PC,07/09/2020,1,399,0,17.54,416.54
0850006 - A Sertaneja com Água,PC,07/09/2020,1,399,0,17.54,416.54
Total geral,,,44,9587,52,777.28,10312.28
